"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches","inning_numeric"
"FF","2026-08-05",94.2,-1.67,6.07,"Pallante, Andre",671277,669467,"walk","ball",NA,12,"Luis García Jr. walks.","R","L","R","NYY","STL","B",NA,NA,3,2,2026,0.02,0.75,0.838547825753087,4.85270846826652,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,6.38814405844564,-137.052253243009,0.968340580982527,-1.14547869146286,29.9310128572875,-23.0907120320729,3.248088911,1.639222441,NA,NA,NA,94.4,2088,6.4,823516,671056,676475,693409,691458,802139,663494,701675,665877,54.11,NA,0.697838,0.7,1,0,0,NA,48,11,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",196,0.032,0.222,NA,NA,NA,NA,-0.222,NA,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,1.81,-0.02,0.02,55.6,NA,NA,NA,NA,NA,6.3333
"FF","2026-08-05",94.9,-1.71,6.08,"Pallante, Andre",671277,669467,NA,"foul",NA,12,NA,"R","L","R","NYY","STL","S",NA,NA,3,2,2026,-0.15,0.55,0.929959820983884,2.81486586947528,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,7.19076141191268,-138.108932366328,-3.93977554498498,-3.5186833443924,29.97177910695,-24.4686802834997,3.248088911,1.639222441,6,100.2,-27,95.3,1874,6.5,823516,671056,676475,693409,691458,802139,663494,701675,665877,54.03,NA,NA,NA,NA,NA,NA,NA,48,10,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",193,0,0,77.4,7.2,NA,NA,0,100.2,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,1.98,0.15,-0.15,56.9,11.9509157674205,-15.8334252568159,23.3542824703605,25.1409920893414,40.8346238695548,6.3333
"SL","2026-08-05",86.8,-1.86,5.85,"Pallante, Andre",671277,669467,NA,"foul",NA,14,NA,"R","L","R","NYY","STL","S",NA,NA,3,2,2026,0.22,0.14,0.502174080885275,1.27247113319269,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,5.14783875226863,-126.380611029172,-4.89903177619391,1.41136898060086,22.9548063501666,-29.9997840421713,3.248088911,1.639222441,4,81.2,-24,87.6,2000,6.5,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.95,NA,NA,NA,NA,NA,NA,NA,48,9,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",99,0,0,71.9,8.4,NA,NA,0,88,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,2.86,-0.22,0.22,51.1,19.5370221849195,-23.5292928504334,32.1115976216544,31.1255705122342,48.9771850968251,6.3333
"FF","2026-08-05",94,-1.68,6.01,"Pallante, Andre",671277,669467,NA,"foul",NA,8,NA,"R","L","R","NYY","STL","S",NA,NA,3,2,2026,0.02,0.72,0.0593550293813473,1.66388820620989,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,4.42435241584573,-136.749755000263,-6.97102291288996,-0.6753608446662,28.1967835474537,-21.8477152816861,3.248088911,1.639222441,NA,NA,NA,94.6,2006,6.5,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.99,NA,NA,NA,NA,NA,NA,NA,48,8,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",192,0,0,77.9,7.9,NA,NA,0,NA,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,1.85,-0.02,0.02,56,13.6835398454414,-3.78320366931458,29.6937072664102,34.7354814209337,32.2171380848198,6.3333
"SL","2026-08-05",83.8,-2.02,5.79,"Pallante, Andre",671277,669467,NA,"foul",NA,13,NA,"R","L","R","NYY","STL","S",NA,NA,3,2,2026,0.08,-0.3,-0.705394052845689,0.711641398357775,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,2.87136036486558,-121.991233255078,-4.42666125484439,0.158314074699065,25.5057133736635,-34.4965870099554,3.248088911,1.639222441,2,68,-31,84.1,2029,6.6,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.87,NA,NA,NA,NA,NA,NA,NA,48,7,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",31,0,0,66.6,8.8,NA,NA,0,88,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,3.56,-0.08,0.08,48.9,20.2669154996496,-14.0498646890715,35.3550623048641,44.7129792945008,41.1990563803725,6.3333
"FF","2026-08-05",93.6,-1.69,6.03,"Pallante, Andre",671277,669467,NA,"foul",NA,12,NA,"R","L","R","NYY","STL","S",NA,NA,3,2,2026,0.16,0.56,1.13453995903821,2.49823553421516,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,6.85343166612898,-136.263399853007,-4.46595574733576,0.578769582632601,28.6434426520473,-24.3624316655895,3.248088911,1.639222441,4,87.7,-31,94.3,1888,6.5,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.95,NA,NA,NA,NA,NA,NA,NA,48,6,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",185,0,0,78.8,7.6,NA,NA,0,88,-3,-3,0.21,0.21,27,26,28,26,3,2,6,1,NA,2,2.03,-0.16,0.16,57.9,13.6911127640388,-17.3525582657529,28.2981871047073,24.2723019661183,40.6934253024463,6.3333
"KC","2026-08-05",78.3,-1.83,5.92,"Pallante, Andre",671277,669467,NA,"blocked_ball",NA,13,NA,"R","L","R","NYY","STL","B",NA,NA,2,2,2026,0.55,-0.87,-1.1282575829363,0.914525159205082,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,0.470881216979954,-114.07590612086,-2.10807790954347,4.7407029203272,19.9258174357015,-39.6129176901949,3.248088911,1.639222441,NA,NA,NA,79.3,2212,6.8,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.71,NA,NA,NA,NA,NA,NA,NA,48,5,"Knuckle Curve",0,3,0,3,3,0,0,3,"Infield shade","Standard",24,0.015,0.092,NA,NA,NA,NA,-0.092,NA,-3,-3,0.195,0.195,27,26,28,26,3,2,6,1,NA,2,4.56,-0.55,0.55,55.4,NA,NA,NA,NA,NA,6.3333
"KC","2026-08-05",78.4,-1.77,5.92,"Pallante, Andre",671277,669467,NA,"blocked_ball",NA,14,NA,"R","L","R","NYY","STL","B",NA,NA,1,2,2026,0.49,-1.48,0.962864617146068,-0.493184547222969,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,4.94154991000517,-113.995850956525,-3.84958477245835,3.24926333227049,23.2691703613954,-44.374687999,3.248088911,1.639222441,NA,NA,NA,78.6,2735,6.7,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.79,NA,NA,NA,NA,NA,NA,NA,48,4,"Knuckle Curve",0,3,0,3,3,0,0,3,"Infield shade","Standard",22,0.009,0.004,NA,NA,NA,NA,-0.004,NA,-3,-3,0.186,0.186,27,26,28,26,3,2,6,1,NA,2,5.22,-0.49,0.49,56,NA,NA,NA,NA,NA,6.3333
"FF","2026-08-05",94.6,-1.76,6.1,"Pallante, Andre",671277,669467,NA,"swinging_strike",NA,3,NA,"R","L","R","NYY","STL","S",NA,NA,1,1,2026,0.15,0.91,0.557057163531747,2.97543030685487,700250,NA,NA,1,6,"Bot",NA,NA,NA,NA,5.64063277680666,-137.776532481378,-4.40014166871886,0.757389362993851,27.8627888773645,-19.8001740524103,3.248088911,1.639222441,NA,NA,NA,95.4,1920,6.5,823516,671056,676475,693409,691458,802139,663494,701675,665877,54,NA,NA,NA,NA,NA,NA,NA,48,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",195,-0.015,-0.096,76.6,6.8,1.068316188,NA,0.096,NA,-3,-3,0.201,0.201,27,26,28,26,3,2,6,1,NA,2,1.61,-0.15,0.15,56.1,6.76089334952978,8.54113465474815,25.5381849573456,30.2195614379187,31.5930399367393,6.3333
"KC","2026-08-05",78.3,-1.81,5.87,"Pallante, Andre",671277,669467,NA,"ball",NA,14,NA,"R","L","R","NYY","STL","B",NA,NA,0,1,2026,0.71,-1.47,0.507267254098536,-1.77585011987176,NA,NA,700250,1,6,"Bot",NA,NA,NA,NA,3.62295766923198,-113.721311932338,-6.39791050637912,5.29613686590707,24.7521957308636,-43.6042921378122,3.248088911,1.639222441,NA,NA,NA,78.2,2670,6.7,823516,671056,676475,693409,691458,802139,663494,701675,665877,53.78,NA,NA,NA,NA,NA,NA,NA,48,2,"Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard",17,0.039,0.027,NA,NA,NA,NA,-0.027,NA,-3,-3,0.162,0.162,27,26,28,26,3,2,6,1,NA,2,5.26,-0.71,0.71,54.6,NA,NA,NA,NA,NA,6.3333
