"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL",2026-07-03,90,-1.91,6,"Pallante, Andre",663538,669467,"double","hit_into_play",NA,NA,NA,NA,8,"Nico Hoerner doubles (22) on a ground ball to left fielder José Fermín.","R","R","R","CHC","STL","X",7,"ground_ball",0,0,2026,0.37,0.39,-0.088968603179762,1.90038865989402,NA,NA,NA,2,6,"Bot",56.19,115.01,NA,NA,NA,NA,3.68209644162158,-131.089428276375,-4.92481195584487,3.7178741675205,23.2628933405243,-26.9526635861582,3.185777559,1.607775591,50,94.8,1,91.1,2239,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.97,0.439,0.419,1.25,1,1,1,2,64,1,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",166,0,0.536,72.3,8.4,NA,0.509,-0.536,94.8,-16,-16,0.001,0.001,27,29,28,29,3,2,6,2,NA,1,2.38,-0.37,-0.37,52.5,18.0056019939807,-17.8479011334439,33.4661867237431,37.3715358173667
"FF",2026-07-03,95.9,-1.52,6.12,"Pallante, Andre",664023,669467,"field_out","hit_into_play",NA,NA,NA,NA,2,"Ian Happ lines out sharply to center fielder Nathan Church.","R","L","R","CHC","STL","X",8,"line_drive",2,1,2026,-0.16,0.68,0.23267729337273,2.7211565102922,NA,NA,NA,1,6,"Bot",97.69,62.54,NA,NA,NA,NA,4.96802892578648,-139.619790332013,-4.81458491551486,-3.17426110046307,28.2757991502328,-22.3653556510079,3.136630577,1.582972441,345,100.4,19,96.7,2020,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.99,0.351,0.428,0,1,0,0,5,63,4,"4-Seam Fastball",0,16,0,16,16,0,0,16,"Infield shade","Standard",186,0,-0.31,70,5.7,NA,0.673,0.31,100.4,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.77,0.16,-0.16,64.4,5.41580934998169,11.218767272957,30.8975863963186,32.2757626496855
"FS",2026-07-03,88.9,-1.8,5.95,"Pallante, Andre",664023,669467,NA,"ball",NA,NA,NA,NA,11,NA,"R","L","R","CHC","STL","B",NA,NA,1,1,2026,-0.86,0.75,-1.72528915789166,4.7194047174737,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,2.01843933295338,-129.472190036842,1.55204181733055,-10.0465794687266,26.8613087325635,-24.2449277735396,3.136630577,1.582972441,NA,NA,NA,89.2,706,6.4,824659,671056,676475,802139,691458,691026,665877,701675,691023,54.08,NA,NA,NA,NA,NA,NA,NA,63,3,"Split-Finger",0,16,0,16,16,0,0,16,"Infield shade","Standard",221,0,0.055,NA,NA,NA,NA,-0.055,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.13,0.86,-0.86,52.9,NA,NA,NA,NA
"SI",2026-07-03,96.5,-1.75,6.03,"Pallante, Andre",664023,669467,NA,"ball",NA,NA,NA,NA,11,NA,"R","L","R","CHC","STL","B",NA,NA,0,1,2026,-1.13,0.95,-1.94615170112213,3.07713283902756,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,2.10337985329796,-140.477132585463,-4.28881308137234,-15.3662448790394,32.6595774088897,-18.8458253401011,3.136630577,1.582972441,NA,NA,NA,96.6,2012,6.4,824659,671056,676475,802139,691458,691026,665877,701675,691023,54.1,NA,NA,NA,NA,NA,NA,NA,63,2,"Sinker",0,16,0,16,16,0,0,16,"Infield shade","Standard",197,0,0.035,NA,NA,NA,NA,-0.035,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.5,1.13,-1.13,51.9,NA,NA,NA,NA
"SL",2026-07-03,88.5,-1.87,6,"Pallante, Andre",664023,669467,NA,"swinging_strike",NA,NA,NA,NA,1,NA,"R","L","R","CHC","STL","S",NA,NA,0,0,2026,0.37,0.16,-0.532738050317284,2.80465177698322,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,NA,NA,2.46783166183696,-128.914219517066,-1.9224211952499,3.62542907266754,24.7301256054917,-30.2532051700971,3.136630577,1.582972441,NA,NA,NA,89.2,2188,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.99,NA,NA,NA,NA,NA,NA,NA,63,1,"Slider",0,16,0,16,16,0,0,16,"Infield shade","Standard",123,0,-0.043,63.8,5.4,3.83364114,NA,0.043,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.73,-0.37,0.37,52.8,-5.77346192480643,39.0100059877114,35.0356552915725,40.7495604480894
"SL",2026-07-03,88.3,-1.83,5.92,"Pallante, Andre",673548,669467,"strikeout","called_strike",NA,NA,NA,NA,12,"Seiya Suzuki called out on strikes.","R","R","R","CHC","STL","S",2,NA,3,2,2026,0.35,0.17,0.241884537552286,3.32311800683349,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,4.25381646634207,-128.545788814838,-0.408701078574964,3.08589441960523,25.90931401062,-30.4605140249576,3.177878937,1.60378937,NA,NA,NA,89,2138,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.87,NA,0,0,1,0,0,NA,62,10,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",110,0,-0.355,NA,NA,NA,NA,0.355,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.75,-0.35,-0.35,54.1,NA,NA,NA,NA
"FF",2026-07-03,95.2,-1.56,6.07,"Pallante, Andre",673548,669467,NA,"foul",NA,NA,NA,NA,14,NA,"R","R","R","CHC","STL","S",NA,NA,3,2,2026,0.19,0.67,0.945451213022048,1.59486248129063,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,6.08116070822193,-138.471257770354,-7.4052659572355,1.15859825612327,30.585801235069,-22.0619947472679,3.177878937,1.60378937,216,70.8,31,95.6,2115,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.96,NA,NA,NA,NA,NA,NA,NA,62,9,"4-Seam Fastball",0,16,0,16,16,0,0,16,"Standard","Standard",187,0,0,79.9,7.6,NA,NA,0,88,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.84,-0.19,-0.19,59.1,0.856883840699034,1.41274990210556,36.8610681897022,48.4395377647735
"SL",2026-07-03,89,-1.87,5.92,"Pallante, Andre",673548,669467,NA,"ball",NA,NA,NA,NA,12,NA,"R","R","R","CHC","STL","B",NA,NA,2,2,2026,0.45,-0.09,1.17903899306952,2.68778847782669,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,6.46007352300481,-129.485619185281,-1.51064890480833,3.73554698075561,26.9593721500342,-33.0566822024368,3.177878937,1.60378937,NA,NA,NA,89.7,2396,6.7,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.78,NA,NA,NA,NA,NA,NA,NA,62,8,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",110,0,0.117,NA,NA,NA,NA,-0.117,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.97,-0.45,-0.45,54.4,NA,NA,NA,NA
"SI",2026-07-03,96.5,-1.69,6.03,"Pallante, Andre",673548,669467,NA,"foul",NA,NA,NA,NA,2,NA,"R","R","R","CHC","STL","S",NA,NA,2,2,2026,-0.97,1.1,0.0787878086869118,3.00202822557886,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,6.90692397689777,-140.376335619544,-4.88813854815429,-14.4059936829009,29.8553840208334,-16.6875128343287,3.177878937,1.60378937,NA,NA,NA,97.1,2060,6.5,824659,671056,676475,802139,691458,691026,665877,701675,691023,54,NA,NA,NA,NA,NA,NA,NA,62,7,"Sinker",0,16,0,16,16,0,0,16,"Standard","Standard",196,0,0,74.6,6.4,NA,NA,0,NA,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,1.34,0.97,0.97,53.7,-2.16161741815713,16.9581864658369,29.852268890922,37.7315877238727
"SL",2026-07-03,88.1,-1.85,5.91,"Pallante, Andre",673548,669467,NA,"foul",NA,NA,NA,NA,6,NA,"R","R","R","CHC","STL","S",NA,NA,2,2,2026,0.25,0,0.530143432818815,2.49267740216137,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,NA,NA,5.22291200140706,-128.341788459393,-2.05819096191742,1.75123477813878,24.3862855643966,-31.9781115721679,3.177878937,1.60378937,151,80.9,73,89,2277,6.6,824659,671056,676475,802139,691458,691026,665877,701675,691023,53.87,NA,NA,NA,NA,NA,NA,NA,62,6,"Slider",0,16,0,16,16,0,0,16,"Standard","Standard",105,0,0,76.8,7.4,NA,NA,0,88,-16,-16,0.001,0.001,27,31,28,32,3,2,6,2,NA,1,2.91,-0.25,-0.25,53.2,13.281667435656,-6.45886379307477,31.7484243018902,42.5520600148599
